Hospitals,Region,Category,Beds,Yaxis,Xaxis,Address,Phone
424 General Military Training Hospital (GSNE),Nea Efkarpia Thessalonikis,Military Hospital,0-100,40.67314,22.96378,Periefereiaki Odos N.Eukarpia,2310381000
Anticancer Hospital of Thessaloniki Theageneio,Thessaloniki,Anticancer Hospital,300-400,40.61823,22.95986,Al.Papanastasiou 11,2313301111
General Prefectural Hospital of Amaliada,Amaliada,General Hospital,0-100,37.79121,21.35631,Euaggelistrias 128,2622024351
General Hospital - Health Center of Goumenissa,Goumenissa,General Hospital,0-100,40.94723,22.44623,Mauropoulou 9,2343350300
General Hospital - Health Center of Ikaria Panikarion,Agios Kirikos Ikaria,General Hospital,0-100,37.61318,26.29141,Agios kurikos Ikarias,2275350200
General Hospital - Health Center of Karystos,Karystos,General Hospital,0-100,38.01926,24.42376,Polychroniou Kotsika,2224350100
General Hospital - Health Center of Kythera Trifylleion,Aroniadika Kythera,General Hospital,0-100,36.27708,22.96501,Arwniadika,2736033203
General Hospital - Health Center of Kimi,Kimi,General Hospital,0-100,38.63796,24.10908,Eparxiaki Odos Kumis-Swtira,2222050126
General Hospital - Health Center of Lemnos,Myrina Limnos,General Hospital,0-100,39.87548,25.06573,Hfaistou 1,2254350400
General Hospital - Health Center of Naxos,Naxos (Chora),General Hospital,0-100,37.10250,25.38085,Perifereiakos,2285360500
Athens General Hospital Elpis,Athens,General Hospital,100-200,37.98955,23.75520,Dimitsanas 7,2132039000
General Hospital of Aitoloakarnania - Nursing Unit of Agrinio,Agrinio,General Hospital,100-200,38.58986,21.41656,Agrinio,2641361100
General Hospital of Aitoloakarnania - Nursing Unit of Messolonghi,Messolonghi,General Hospital,100-200,38.37445,21.44062,Xatzikwsta 2,2631360100
General Hospital of Amfissa,Amfissa,General Hospital,0-100,38.52120,22.37626,112i,2265022222
General Hospital of Argolida - Nursing Unit argos,Argos,General Hospital,100-200,37.64353,22.72826,Korinthou 191,2751024456
General Hospital of Argolida - Nursing Unit of Nafplion,Nafplion,General Hospital,100-200,37.56638,22.80802,Nauplio,2752361100
General Hospital of Argostoli Agios Gerasimos,Kefalonia (Argostoli),General Hospital,100-200,38.16942,20.49232,Souidias 17,2671361100
General Hospital of Arta,Arta,General Hospital,200-300,39.14796,20.99442,Unnamed Road,2681361444
General Hospital of Veria,Veria,General Hospital,100-200,40.50347,22.21641,Sunikoismos Papagou,2331351100
General Hospital of Volos,Volos,General Hospital,300-400,39.35324,22.96155,Polumeri 134,2421351804
General Hospital of Giannitsa,Giannitsa,General Hospital,100-200,40.79082,22.42164,Giannitsa,2382350200
General Hospital of Grevena,Grevena,General Hospital,0-100,40.08822,21.43687,Perioxi Stratopedou,2462350100
General Hospital of Didymoteicho,Didymoteicho,General Hospital,100-200,41.35260,26.50363,25hs Maiou 152,2553350100
General Hospital of Drama,Drama,General Hospital,200-300,41.15915,24.14891,Ippokratous 57,2521350400
General Hospital of Edessa,Edessa,General Hospital,100-200,40.79132,22.04270,Terma Egnatias Edessis-Thessalonikis,2381350100
General Hospital of Zakynthos Agios Dionysios,Zakynthos,General Hospital,0-100,37.78459,20.87639,Zakunthos,2695360500
General Hospital of Thessaloniki Agios Dimitrios,Thessaloniki,General Hospital,100-200,40.63741,22.95862,Elenis Zwgrafou 2,2313322100
General Hospital of Thessaloniki Agios Pavlos,Kalamaria,General Hospital,100-200,40.57782,22.96982,Lewforos Ethnikis Antistasews 161,2313304400
General Hospital of Thessaloniki G. Gennimatas,Thessaloniki,General Hospital,200-300,40.63391,22.95549,Ethnikis Amunis 41,2313308100
General Hospital of Thessaloniki G. Papanikolaou,Exohi Thessaloniki,General Hospital,700-800,40.63120,23.04486,Lewf.Papanikolaou,2313307000
General Hospital of Thessaloniki Ippokrateio,Thessaloniki,General Hospital,800-900,40.60591,22.95778,Kwnstantinoupolews 49,2310892000
General Hospital of Thessaloniki Papageorgiou,Nea Efkarpia Thessaloniki,General Hospital,600-700,40.67614,22.96229,Agiou Paulou 76,2313323000
General Hospital of Thiva,Thiva,General Hospital,0-100,38.33252,23.35496,3o Xiliometro EO Thivas-Xalkidas,2262350100
General Hospital of Thira,Karterados Thira,General Hospital,0-100,36.40776,25.44167,Karterados,2286035300
General Hospital of Ierapetra,Ierapetra,General Hospital,0-100,35.01353,25.74189,Kalimeraki 6,2842340222
General Hospital of Ioannina G. Chatzikosta,Ioannina,General Hospital,300-400,39.68223,20.82654,Lewf.Str.Makrugianni 60,2651366111
General Hospital of Kavala,Kavala,General Hospital,300-400,40.93899,24.37796,Agios Sullas,2513501100
General Hospital of Kalamata,Kalamata,General Hospital,300-400,37.06825,22.06066,Antikalamos,2721046000
General Hospital of Karditsa,Karditsa,General Hospital,200-300,39.35260,21.90535,Terma Taurwpou,2441351555
General Hospital of Karpathos Agios Ioannis karpathios,Pigadia Karpathos,General Hospital,0-100,35.52761,27.19480,Karpathos,2245029010
General Hospital of Karpenisi,Karpenisi,General Hospital,0-100,38.91418,21.78984,P.Mpakogianni 2,2237350100
General Hospital of Kastoria,Kastoria,General Hospital,100-200,40.50490,21.28114,Mauriwtissis 33,2467350600
General Hospital of Katerini,Katerini,General Hospital,100-200,40.29401,22.44577,6o Xiliometro Katerinis-Arwna,2351350200
General Hospital of Corfu Agia Irini,Kerkura,General Hospital,200-300,39.64348,19.85060,Kontokali,2661360400
General Hospital of Kilkis,Kilkis,General Hospital,200-300,40.99124,22.86793,Al.Gialamidi 2,2341351400
General Hospital of Kozani Mamatseio,Kozani,General Hospital,100-200,40.30735,21.78625,Mamatsiou 1,2461352600
General Hospital of Corinth,Corinth,General Hospital,100-200,37.94010,22.94941,Athinwn 53,2741361400
General Hospital of Laconia,Sparta,General Hospital,100-200,37.08746,22.42012,Epidaurou Limiras 25,2732360100
General Hospital of Lamia,Lamia,General Hospital,200-300,38.92920,22.42267,Papasiopoulou Terma,2231356000
General Hospital of Larissa Koutlimbaneio and Triantafylio,Larissa,General Hospital,500-600,39.64243,22.42245,Tsakalwf 1,2410259674
General Hospital of Lassithi (Agios Nikolaos),Agios Nikolaos,General Hospital,100-200,35.19462,25.71333,Knwsou 4,2841343000
General Hospital of Lefkada,Lefkada,General Hospital,0-100,38.82623,20.69736,Filosofwn,2645360200
General Hospital of Lixouri Mantzavinateio,Kefalonia (Lixouri),General Hospital,0-100,38.20930,20.43773,Tupaldou 91,2671092222
General Hospital of Livadia,Livadia,General Hospital,0-100,38.44637,22.88282,Agiou Vlasiou,2261350575
General Hospital of Mytilene Vostaneio,Mytilene,General Hospital,200-300,39.09108,26.54900,Efstratiou Vostani 48,2251057700
Naoussa General Hospital,Naoussa,General Hospital,100-200,40.62746,22.07343,Fil.Kokkinou 2,No number
General Hospital of Neapolis Dialynakio,Neapoli Lassithi,General Hospital,0-100,35.25496,25.60856,Anapurwn Polemou,2841340801
General Hospital of Nikaia Piraeus Agios Panteleimon,Nikaia,General Hospital,600-700,37.97266,23.66281,Dim.Mantouvalou 3,2132076540
General Hospital of Xanthi,Xanthi,General Hospital,200-300,41.12391,24.86790,Xanthi,2541351100
General Children's Hospital Panagiotis and Aglaia Kyriakou,Athens,General Hospital,300-400,37.98545,23.76785,Levadeias,2541351100
General Children's Hospital of Patras Karamandanio,Patras,General Hospital,0-100,38.23758,21.76089,Eruthrou Staurou 40,2610635100
General Hospital of Patras Agios Andreas,Patras,General Hospital,200-300,38.23494,21.74792,Kalavrutwn 37,2613601000
General Hospital of Preveza,Preveza,General Hospital,100-200,38.96553,20.75394,Suleukeias 2,2682361390
Ptolemaida General Hospital Bodossakio,Ptolemaida,General Hospital,200-300,40.54365,21.65484,Ptolemaida,2463351100
General Hospital of Pyrgos Andreas Papandreou,Pyrgos,General Hospital,100-200,37.68344,21.42370,Nosokomeiou,2621361100
General Hospital of Rethymno,Rethymnon,General Hospital,100-200,35.36535,24.47131,Trantalidou 19-21,2831342100
General Hospital of Rhodes Andreas Papandreou,Rhodes,General Hospital,300-400,36.41819,28.19291,Cristian Barnard 1,2241360000
Samos General Hospital Agios Panteleimon,Samos,General Hospital,100-200,37.76179,26.96977,Lewf.Kallistratou 17,2273083100
General Hospital of Serres,Serres,General Hospital,300-400,41.09023,23.58247,Odos Serres-Dramas,2321094500
Sitia General Hospital,Sitia,General Hospital,0-100,35.20460,26.09623,Xerokamares,2843340100
General Hospital of Syros Vardakeio & Proio,Ermoupolis Syros,General Hospital,0-100,37.43837,24.93504,Gewr.Papandreou 2,2281360500
General Hospital of Trikala,Trikala,General Hospital,200-300,39.54639,21.77241,Karditsis 56,2431350100
General Hospital of Filiates,Filiates,General Hospital,0-100,39.59855,20.31476,Filiatwn,2664360222
Florina General Hospital Eleni Demetriou,Florina,General Hospital,100-200,40.78544,21.40966,Egnatias 9,2385350100
General Hospital of Chalkida,Chalkida,General Hospital,100-200,38.46347,23.59944,Chalkida,2221355700
General Hospital of Chalkidiki,Polygyros,General Hospital,100-200,40.38459,23.44524,Ippokratous 5,2371350100
General Hospital of Chania Agios Georgios,Chania,General Hospital,100-200,35.47855,24.01558,Agiou Eleutheriou,2821342000
General Hospital of Chios Skylitseio,Chios,General Hospital,100-200,38.38365,26.13768,Elenas Venizelou 2,2271350100
General Panarkadian Hospital of Tripoli Evangelistria,Tripoli,General Hospital,200-300,37.51179,22.36236,Odos Eruthrou Staurou,2713601700
National Rehabilitation Center,Kamatero,Rehabilitation Center,100-200,38.04876,23.71792,Sp.Theologou 1 & 8,2132015109
Interbalkan Medical Center (private),Thessaloniki,Pediatric Hospital,300-400,40.54795,22.98761,Asklipiou 10,2310400000
KAT,Kifissia,General Hospital,600-700,38.06605,23.80806,Nikis 2,2132086000
Day Care Center Nikos Kourkoulos (former 6th IKA Hospital),Athens,Anticancer Hospital,0-100,37.99099,23.74146,Aswpiou 4,2106495113
State Hospital - General Hospital of Leros,Lakki Leros,General Hospital,400-500,37.13236,26.84737,Vas.Olgas,No number
Naval Hospital of Athens (NSW),Athens,Naval Hospital,200-300,37.98153,23.75111,Deinokratous 70,2107261000
Naval Hospital of Crete,Chania,Naval Hospital,0-100,35.48517,24.08813,Chania,2821082628
Piraeus Naval Hospital (NN) - Branch of the Naval Hospital of Athens (N.N.A.),Piraeus,Naval Hospital,0-100,37.93504,23.64776,Akti Moutsopoulou 66,2104583500
Hospital of Venereal and Skin Diseases of Thessaloniki,Thessaloniki,Hospital of Venereal and Skin Diseases,0-100,40.60596,22.95787,Delfwn 124,2313308860
Ophthalmiatrio Athens,Athens,Ophthalmology Hospital,0-100,37.97957,23.73412,Sina 2,2132052701
Children's Agia Sophia,Athens,General Hospital,600-700,37.98490,23.76888,Thivwn 1,2132013000
Children's Hospital of Penteli,Penteli,General Hospital,100-200,38.05111,23.87508,Ippokratous 8,2132052200
University General Hospital of Heraklion,Heraklion,University Hospital,700-800,35.304221,25.08446,Panepistimiou,2813402111
University General Hospital of Ioannina,Ioannina,University Hospital,800-900,39.62174,20.84045,Odos Staurou Niarhou,2651099111
University General Hospital of Larissa,Larissa,University Hospital,500-600,39.61092,22.38578,Larisa,2413501000
University General Hospital of Patras Panagia Abi (GNP),Patras,University Hospital,600-700,38.29470,21.79504,Rio,2613603000 
University Hospital of Alexandroupolis,Alexandroupolis,University Hospital,400-500,40.86161,25.80185,Alexandroupoli,2613603000
AHEPA University Hospital,Thessaloniki,University Hospital,600-700,40.62969,22.96007,Kiriakidi 1,2313303110
Polyclinic,Athens,General Hospital,100-200,37.98357,23.72677,Peiraiws 3,2132044000
Psychiatric Hospital of Attica (Dafni),Haidari,Psychiatric Hospital,>1000+,38.01504,23.63495,Lewf.Athinwn 374,2132054000
Psychiatric Hospital of Thessaloniki,Stavroupoli Thessaloniki,Psychiatric Hospital,600-700,40.66662,22.93736,Lagkada 196,2313324100
